"On average, how much time do you spend on other activities?"," On average, how much of your time is spent developing software?"," On average, how much of your time is spent on research?"," On average, how much of the time you spend developing software is spent on new development/enhancement?"," On average, how much of the time you spend developing software is devoted to maintenance and support activities?"," On average, how much time do you spend on management?"," On average, how much time do you spend on other activities?"
1 (None at all),5,16,5,17,18,19.0
2,14,11,8,30,31,33.0
3,23,17,11,20,13,19.0
4,9,11,5,10,8,10.0
5,19,20,26,17,13,15.0
6,3,7,11,4,5,
7,15,6,9,3,4,1.0
8,6,5,12,2,6,3.0
9,5,4,11,1,3,1.0
10 (All my time),6,7,6,1,2,
