How many software components from science,canarie2_can. How many software components from science.canarie.ca have you integrated into your projects?
0,0.0
1,2.0
2,
3,0.0
4,0.0
5,0.0
6,0.0
7,12.0
8,0.0
9,0.0
10,0.0
11,0.0
12,0.0
13,0.0
14,0.0
15,
16,0.0
17,1.0
18,
19,0.0
20,
21,
22,
23,0.0
24,0.0
25,
26,
27,1.0
28,
29,6.0
30,
31,
32,0.0
33,2.0
34,0.0
35,0.0
36,0.0
37,
38,0.0
39,3.0
40,0.0
41,0.0
42,0.0
43,0.0
44,1.0
45,0.0
46,0.0
47,0.0
48,0.0
49,
50,2.0
51,2.0
52,
53,0.0
54,50.0
55,0.0
56,
57,0.0
58,0.0
59,0.0
60,0.0
61,
62,
63,4.0
64,0.0
65,
66,0.0
67,0.0
68,0.0
69,0.0
70,
71,0.0
72,2.0
73,
74,0.0
75,0.0
76,1.0
77,
78,0.0
79,0.0
80,0.0
81,0.0
82,0.0
83,0.0
84,0.0
85,
86,2.0
87,
88,0.0
89,0.0
90,
91,0.0
92,0.0
93,0.0
94,2.0
95,0.0
96,0.0
97,
98,0.0
99,0.0
100,0.0
101,1.0
102,0.0
103,
104,1.0
105,
106,0.0
107,0.0
108,0.0
109,0.0
