In which discipline is your highest academic qualification?,edu2. In which discipline is your highest academic qualification?
Other,26
Information technology,20
Physics,6
Artificial intelligence,6
Applied mathematics,5
Electrical and electronic engineering,4
Biomedical engineering,4
Chemical engineering,3
Genetics,3
Theoretical physics and chemistry,3
Molecular biology,2
Fluid mechanics,2
Evolution and ecology,2
Health Sciences,2
Astronomy and astrophysics,2
Earth science,2
Biochemistry,2
Physical chemistry,2
Mining and mineral processing,1
Physical geography,1
Other studies in natural sciences and engineering,1
Mechanical engineering,1
Microbiology,1
Agricultural engineering,1
Nuclear engineering,1
Structural engineering,1
Life sciences research related to human health and disease,1
Industrial engineering,1
Space science,1
Geoghraphical information,1
Oceanography,1
Hydrology,1
