How many years of software development experience do you have?,soft1can. How many years of software development experience do you have?
0,20.0
1,21.0
2,40.0
3,10.0
4,5.0
5,12.0
6,20.0
7,17.0
8,15.0
9,15.0
10,0.0
11,56.0
12,1.0
13,5.0
14,15.0
15,21.0
16,8.0
17,10.0
18,25.0
19,34.0
20,8.0
21,
22,5.0
23,2.0
24,3.0
25,
26,20.0
27,15.0
28,10.0
29,18.0
30,12.0
31,11.0
32,30.0
33,10.0
34,
35,12.0
36,2.0
37,
38,15.0
39,6.0
40,20.0
41,30.0
42,3.0
43,3.0
44,4.0
45,4.0
46,10.0
47,0.0
48,16.0
49,
50,16.0
51,42.0
52,5.0
53,5.0
54,10.0
55,15.0
56,10.0
57,20.0
58,2.0
59,25.0
60,8.0
61,20.0
62,5.0
63,41.0
64,30.0
65,5.0
66,3.0
67,15.0
68,22.0
69,3.0
70,
71,5.0
72,
73,
74,20.0
75,3.0
76,7.0
77,
78,18.0
79,20.0
80,0.0
81,15.0
82,15.0
83,6.0
84,16.0
85,
86,15.0
87,
88,10.0
89,15.0
90,4.0
91,18.0
92,47.0
93,18.0
94,8.0
95,25.0
96,16.0
97,
98,20.0
99,20.0
100,10.0
101,12.0
102,3.0
103,40.0
104,20.0
105,15.0
106,10.0
107,20.0
108,22.0
109,8.0
