In which subject is your highest academic degree/qualification?,edu2. In which subject is your highest academic degree/qualification?
Computer Science,41
Biological Sciences,24
Physics and Astronomy,24
Other,15
Chemistry,14
Mathematics,9
Mechanical Engineering,7
Electrical & Electronic Engineering,5
Geology,4
Chemical Engineering,3
Aeronautical & Manufacturing Engineering,2
Civil Engineering,2
Psychology,2
Anthropology,2
Agriculture & Forestry,2
General Engineering,1
Politics,1
Medicine,1
Business & Management Studies,1
Russian & East European Languages,1
Geography & Environmental Sciences,1
Music,1
Linguistics,1
