What would you hope to get out of such an organisation (check all that apply)?,Count [PERCENTAGE]
Networking,20.833333333333336
Research collaborations,20.833333333333336
Software collaborations,16.666666666666664
Research software standards and interoperability definition,16.666666666666664
Training,12.5
Job opportunities,12.5
