"Fraunhofer Information Center for Planning and Building";"Fraunhofer-Informationszentrum Raum und Bau"
"Fraunhofer Institute for Algorithms and Scientific Computing";"Fraunhofer-Institut für Algorithmen und Wissenschaftliches Rechnen"
"Fraunhofer Institute for Applied Solid State Physics";"Fraunhofer-Institut für Angewandte Festkörperphysik"
"Fraunhofer Institute for Applied Information Technology";"Fraunhofer-Institut für Angewandte Informationstechnik"
"Fraunhofer Institute for Applied Optics and Precision Engineering";"Fraunhofer-Institut für Angewandte Optik und Feinmechanik"
"Fraunhofer Institute for Applied Polymer Research";"Fraunhofer-Institut für Angewandte Polymerforschung"
"Fraunhofer Institute for Industrial Engineering";"Fraunhofer-Institut für Arbeitswirtschaft und Organisation"
"Fraunhofer Institute for Building Physics";"Fraunhofer-Institut für Bauphysik"
"Fraunhofer Institute for Structural Durability and System Reliability";"Fraunhofer-Institut für Betriebsfestigkeit und Systemzuverlässigkeit"
"Fraunhofer MEVIS";"Fraunhofer-Institut für Bildgestützte Medizin MEVIS"
"Fraunhofer Institute for Biomedical Engineering";"Fraunhofer-Institut für Biomedizinische Technik"
"Fraunhofer Institute for Chemical Technology";"Fraunhofer-Institut für Chemische Technologie"
"Fraunhofer Institute for Digital Media Technology";"Fraunhofer-Institut für Digitale Medientechnologie"
"Fraunhofer Institute for Embedded Systems and Communication Technologies";"Fraunhofer-Institut für Eingebettete Systeme und Kommunikationstechnik ESK"
"Fraunhofer Institute for Mechatronic Systems Design";"Fraunhofer-Institut für Entwurfstechnik Mechatronik"
"Fraunhofer Institute for Experimental Software Engineering";"Fraunhofer-Institut für Experimentelles Software Engineering"
"Fraunhofer Institute for Factory Operation and Automation";"Fraunhofer-Institut für Fabrikbetrieb und -automatisierung"
"Fraunhofer Institute for Manufacturing Technology and Advanced Materials";"Fraunhofer-Institut für Fertigungstechnik und Angewandte Materialforschung"
"Fraunhofer Institute for Computer Graphics Research";"Fraunhofer-Institut für Graphische Datenverarbeitung"
"Fraunhofer Institute for Interfacial Engineering and Biotechnology";"Fraunhofer-Institut für Grenzflächen- und Bioverfahrenstechnik"
"Fraunhofer Institute for High Frequency Physics and Radar Techniques";"Fraunhofer-Institut für Hochfrequenzphysik und Radartechnik"
"Fraunhofer Institute for Wood Research";"Fraunhofer-Institut für Holzforschung"
"Fraunhofer Institute for Integrated Circuits";"Fraunhofer-Institut für Integrierte Schaltungen"
"Fraunhofer Institute for Integrated Systems and Device Technology";"Fraunhofer-Institut für Integrierte Systeme und Bauelementetechnologie"
"Fraunhofer Institute for Intelligent Analysis and Information Systems";"Fraunhofer-Institut für Intelligente Analyse- und Informationssysteme"
"Fraunhofer Institute for Ceramic Technologies and Systems";"Fraunhofer-Institut für Keramische Technologien und Systeme"
"Fraunhofer Institute for Communication, Information Processing and Ergonomics";"Fraunhofer-Institut für Kommunikation, Informationsverarbeitung und Ergonomie"
"Fraunhofer Institute for High-Speed Dynamics";"Fraunhofer-Institut für Kurzzeitdynamik"
"Fraunhofer Institute for Laser Technology";"Fraunhofer-Institut für Lasertechnik"
"Fraunhofer Institute for Material Flow and Logistics";"Fraunhofer-Institut für Materialfluss und Logistik"
"Fraunhofer Institute for Microelectronic Circuits and Systems";"Fraunhofer-Institut für Mikroelektronische Schaltungen und Systeme"
"Fraunhofer Institute for Molecular Biology and Applied Ecology";"Fraunhofer-Institut für Molekularbiologie und Angewandte Oekologie"
"Fraunhofer Institute for Telecommunications";"Fraunhofer-Institut für Nachrichtentechnik"
"Fraunhofer Institute for Open Communication Systems";"Fraunhofer-Institut für Offene Kommunikationssysteme"
"Fraunhofer Institute of Optronics, System Technologies and Image Exploitation";"Fraunhofer-Institut für Optronik, Systemtechnik und Bildauswertung"
"Fraunhofer Institute for Organic Electronics, Electron Beam and Plasma Technology";"Fraunhofer-Institut für Organische Elektronik, Elektronenstrahl- und Plasmatechnik"
"Fraunhofer Institute for Photonic Microsystems";"Fraunhofer-Institut für Photonische Mikrosysteme"
"Fraunhofer Institute for Physical Measurement Techniques";"Fraunhofer-Institut für Physikalische Messtechnik"
"Fraunhofer Institute for Production Systems and Design Technology";"Fraunhofer-Institut für Produktionsanlagen und Konstruktionstechnik"
"Fraunhofer Institute for Manufacturing Engineering and Automation";"Fraunhofer-Institut für Produktionstechnik und Automatisierung"
"Fraunhofer Institute for Production Technology";"Fraunhofer-Institut für Produktionstechnologie"
"Fraunhofer Institute for Surface Engineering and Thin Films";"Fraunhofer-Institut für Schicht- und Oberflächentechnik"
"Fraunhofer Institute for Secure Information Technology";"Fraunhofer-Institut für Sichere Informationstechnologie"
"Fraunhofer Institute for Silicate Research";"Fraunhofer-Institut für Silicatforschung"
"Fraunhofer Institute for Silicon Technology";"Fraunhofer-Institut für Siliziumtechnologie"
"Fraunhofer Institute for Software and Systems Engineering";"Fraunhofer-Institut für Software- und Systemtechnik ISST"
"Fraunhofer Institute for Solar Energy Systems ISE";"Fraunhofer-Institut für Solare Energiesysteme"
"Fraunhofer Institute for Systems and Innovation Research";"Fraunhofer-Institut für System- und Innovationsforschung"
"Fraunhofer Institute for Industrial Mathematics";"Fraunhofer-Institut für Techno- und Wirtschaftsmathematik"
"Fraunhofer Institute for Toxicology and Experimental Medicine";"Fraunhofer-Institut für Toxikologie und Experimentelle Medizin"
"Fraunhofer Institute for Environmental, Safety, and Energy Technology";"Fraunhofer-Institut für Umwelt-, Sicherheits- und Energietechnik"
"Fraunhofer Institute for Process Engineering and Packaging";"Fraunhofer-Institut für Verfahrenstechnik und Verpackung"
"Fraunhofer Institute for Transportation and Infrastructure Systems";"Fraunhofer-Institut für Verkehrs- und Infrastruktursysteme"
"Fraunhofer Institute for Material and Beam Technology";"Fraunhofer-Institut für Werkstoff- und Strahltechnik"
"Fraunhofer Institute for Mechanics of Materials";"Fraunhofer-Institut für Werkstoffmechanik"
"Fraunhofer Institute for Machine Tools and Forming Technology";"Fraunhofer-Institut für Werkzeugmaschinen und Umformtechnik"
"Fraunhofer Institute for Wind Energy and Energy System Technology";"Fraunhofer-Institut für Windenergie und Energiesystemtechnik"
"Fraunhofer Institute for Cell Therapy and Immunology";"Fraunhofer-Institut für Zelltherapie und Immunologie"
"Fraunhofer Institute for Reliability and Microintegration";"Fraunhofer-Institut für Zuverlässigkeit und Mikrointegration"
"Fraunhofer Center for International Management and Knowledge Economics";"Fraunhofer-Zentrum für Mittel- und Osteuropa"
