"Bibliotheca Hertziana – Max Planck Institute of Art History";"Bibliotheca Hertziana"
"Fritz Haber Institute of the MPG";"Fritz-Haber-Institut der Max-Planck-Gesellschaft"
"Gmelin Institute";"Gmelin-Institut"
"Kunsthistorisches Institut in Florenz";"Kunsthistorisches Institut in Florenz"
"Max Planck Florida Institute";"Max Planck Florida Institute for Neuroscience"
"Max Planck Research Unit for Enzymology of Protein Folding";"Max-Planck-Forschungsstelle für Enzymologie der Proteinfaltung"
"Max Planck Institute for Astronomy";"Max-Planck-Institut für Astronomie"
"Max Planck Institute for Astrophysics";"Max-Planck-Institut für Astrophysik"
"Max Planck Institute for Human Development";"Max-Planck-Institut für Bildungsforschung"
"Max Planck Institute of Biochemistry";"Max-Planck-Institut für Biochemie"
"Max Planck Institute for Biogeochemistry";"Max-Planck-Institut für Biogeochemie"
"Max Planck Institute for Biology";"Max-Planck-Institut für Biologie"
"Max Planck Institute for Biology of Ageing";"Max-Planck-Institut für Biologie des Alterns"
"Max Planck Institute for Biophysics";"Max-Planck-Institut für Biophysik"
"Max Planck Institute for Chemistry";"Max-Planck-Institut für Chemie"
"Max Planck Institute for Bioinorganic Chemistry";"Max-Planck-Institut für Chemische Energiekonversion"
"Max Planck Institute for Chemical Physics of Solids";"Max-Planck-Institut für Chemische Physik fester Stoffe"
"Max Planck Institute for Dynamics of Complex Technical Systems";"Max-Planck-Institut für Dynamik komplexer technischer Systeme"
"Max Planck Institute for Dynamics and Self-Organization";"Max-Planck-Institut für Dynamik und Selbstorganisation"
"Max Planck Institute for Iron Research GmbH";"Max-Planck-Institut für Eisenforschung"
"Max Planck Institute for Developmental Biology";"Max-Planck-Institut für Entwicklungsbiologie"
"Max Planck Institute for Evolutionary Biology";"Max-Planck-Institut für Evolutionsbiologie"
"Max Planck Institute for Solid State Research";"Max-Planck-Institut für Festkörperforschung"
"Max Planck Institute for History";"Max-Planck-Institut für Geschichte"
"Max Planck Institute for the Study of Societies";"Max-Planck-Institut für Gesellschaftsforschung"
"Max Planck Institute for Gravitational Physics";"Max-Planck-Institut für Gravitationsphysik"
"Max Planck Institute for Heart and Lung Research";"Max-Planck-Institut für Herz- und Lungenforschung"
"Max Planck Institute for Brain Research";"Max-Planck-Institut für Hirnforschung"
"Max Planck Institute for Intellectual Property and Competition Law";"Max-Planck-Institut für Immaterialgüter- und Wettbewerbsrecht"
"Max Planck Institute of Immunobiology and Epigenetics";"Max-Planck-Institut für Immunbiologie und Epigenetik"
"Max Planck Institute for Infection Biology";"Max-Planck-Institut für Infektionsbiologie"
"Max Planck Institute for Computer Science";"Max-Planck-Institut für Informatik"
"Max Planck Institute for Intelligent Systems";"Max-Planck-Institut für Intelligente Systeme"
"Max Planck Institute for Nuclear Physics";"Max-Planck-Institut für Kernphysik"
"Max Planck Institute for Human Cognitive and Brain Sciences";"Max-Planck-Institut für Kognitions- und Neurowissenschaften"
"Max Planck Institute for Coal Research";"Max-Planck-Institut für Kohlenforschung"
"Max Planck Institute for Colloids and Interfaces";"Max-Planck-Institut für Kolloid- und Grenzflächenforschung"
"Max Planck Institute for Marine Microbiology";"Max-Planck-Institut für Marine Mikrobiologie"
"Max Planck Institute for Mathematics";"Max-Planck-Institut für Mathematik"
"Max Planck Institute for Mathematics in the Sciences";"Max-Planck-Institut für Mathematik in den Naturwissenschaften"
"Max Planck Institute for the Science of Human History";"Max-Planck-Institut für Menschheitsgeschichte"
"Max Planck Institute for Meteorology";"Max-Planck-Institut für Meteorologie"
"Max Planck Institute for Microstructure Physics";"Max-Planck-Institut für Mikrostrukturphysik"
"Max Planck Institute of Neurobiology";"Max-Planck-Institut für Neurobiologie"
"Max Planck Institute for Ornithology";"Max-Planck-Institut für Ornithologie"
"Max Planck Institute for Plant Breeding Research";"Max-Planck-Institut für Pflanzenzüchtungsforschung"
"Max Planck Institute for Physics";"Max-Planck-Institut für Physik"
"Max Planck Institute of Plasma Physics";"Max-Planck-Institut für Plasmaphysik"
"Max Planck Institute for Polymer Research";"Max-Planck-Institut für Polymerforschung"
"Max Planck Institute of Psychiatry";"Max-Planck-Institut für Psychiatrie"
"Max Planck Institute for Psycholinguistics";"Max-Planck-Institut für Psycholinguistik"
"Max Planck Institute of Quantum Optics";"Max-Planck-Institut für Quantenoptik"
"Max Planck Institute for Radio Astronomy";"Max-Planck-Institut für Radioastronomie"
"Max Planck Institute for Software Systems";"Max-Planck-Institut für Softwaresysteme"
"Max Planck Institute for Solar System Research";"Max-Planck-Institut für Sonnensystemforschung"
"Max Planck Institute for Social Law and Social Policy";"Max-Planck-Institut für Sozialrecht und Sozialpolitik"
"Max Planck Institute for Tax Law and Public Finance";"Max-Planck-Institut für Steuerrecht und Öffentliche Finanzen"
"Max Planck Institute for Metabolism Research";"Max-Planck-Institut für Stoffwechselforschung"
"Max Planck Institute for the Structure and Dynamics of Matter";"Max-Planck-Institut für Struktur und Dynamik der Materie"
"Max Planck Institute for Behavioral Physiology";"Max-Planck-Institut für Verhaltensphysiologie"
"Max Planck Institute for the History of Science";"Max-Planck-Institut für Wissenschaftsgeschichte"
"Max Planck Institute for Cell Biology";"Max-Planck-Institut für Zellbiologie"
"Max Planck Institute for Comparative and International Private Law";"Max-Planck-Institut für ausländisches und internationales Privatrecht"
"Max Planck Institute for Foreign and International Criminal Law";"Max-Planck-Institut für ausländisches und internationales Strafrecht"
"Max Planck Institute for Comparative Public Law and International Law";"Max-Planck-Institut für ausländisches öffentliches Recht und Völkerrecht"
"Max Planck Institute for Biological Cybernetics";"Max-Planck-Institut für biologische Kybernetik"
"Max Planck Institute for Biophysical Chemistry";"Max-Planck-Institut für biophysikalische Chemie"
"Max Planck Institute for Chemical Ecology";"Max-Planck-Institut für chemische Ökologie"
"Max Planck Institute for Demographic Research";"Max-Planck-Institut für demografische Forschung"
"Max Planck Institute for the Science of Light";"Max-Planck-Institut für die Physik des Lichts"
"Max Planck Institute for Empirical Aesthetics";"Max-Planck-Institut für empirische Ästhetik"
"Max Planck Institute for Social Anthropology";"Max-Planck-Institut für ethnologische Forschung"
"Max Planck Institute for European History of Law";"Max-Planck-Institut für europäische Rechtsgeschichte"
"Max Planck Institute for Evolutionary Anthropology";"Max-Planck-Institut für evolutionäre Anthropologie"
"Max Planck Institute for Experimental Medicine";"Max-Planck-Institut für experimentelle Medizin"
"Max Planck Institute for Extraterrestrial Physics";"Max-Planck-Institut für extraterrestrische Physik"
"Max Planck Institute for Medical Research";"Max-Planck-Institut für medizinische Forschung"
"Max Planck Institute for Molecular Biomedicine";"Max-Planck-Institut für molekulare Biomedizin"
"Max Planck Institute for Molecular Genetics";"Max-Planck-Institut für molekulare Genetik"
"Max Planck Institute for Molecular Plant Physiology";"Max-Planck-Institut für molekulare Pflanzenphysiologie"
"Max Planck Institute for Molecular Physiology";"Max-Planck-Institut für molekulare Physiologie"
"Max Planck Institute of Molecular Cell Biology and Genetics";"Max-Planck-Institut für molekulare Zellbiologie und Genetik"
"Max Planck Institute for Terrestrial Microbiology";"Max-Planck-Institut für terrestrische Mikrobiologie"
"Planck Institute on the Preconditions of Human Life in the Modern World";"Max-Planck-Institut zur Erforschung der Lebensbedingungen der wissenschaftlich-technischen Welt"
"Max Planck Institute for the Study of Religious and Ethnic Diversity";"Max-Planck-Institut zur Erforschung multireligiöser und multiethnischer Gesellschaften"
"Max Planck Institute for Research on Collective Goods";"Max-Planck-Institut zur Erforschung von Gemeinschaftsgütern"
